id,"airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
239037,2643,"ESCF",7265,115,"ASP",1,0,"01",58.38669967651367,15.515999794006348,250,18.3,,"19",58.405601501464844,15.527899742126465,295,198.3,
239038,2643,"ESCF",6135,121,"ASP",1,0,"08",58.4015998840332,15.515600204467773,308,83.2,,"26",58.40359878540039,15.54740047454834,277,263.2,
239057,2645,"ESCM",6250,131,"ASP",1,0,"03",59.89310073852539,17.58329963684082,60,33.2,,"21",59.90739822387695,17.601900100708008,68,213.2,
239058,2645,"ESCM",6594,131,"ASP",1,0,"08",59.894798278808594,17.56999969482422,41,75,,"26",59.89950180053711,17.60460090637207,61,255,154
239001,2646,"ESDF",7648,148,"ASP",1,0,"01",56.256900787353516,15.262499809265137,181,8.7,,"19",56.2775993347168,15.268199920654297,188,188.7,
300897,29311,"ESFA",2723,131,"Grass",0,0,"04",,,,,,"22",,,,,
239033,2647,"ESFR",6517,110,"ASP",1,0,"18",58.50699996948242,13.05459976196289,240,184.6,,"36",58.489200592041016,13.051899909973145,245,4.6,
506987,29317,"ESFS",1967,66,"Grass",0,0,"17",,,,,,"35",,,,,
270973,29320,"ESGA",2558,98,"Grass",0,0,"06",,,,,,"24",,,,,
271001,29323,"ESGE",2625,60,"ASP",1,0,"04L",,,588,,204,"22R",,,588,,256
332563,29323,"ESGE",2625,163,"GRE",0,0,"04R",,,588,,,"22L",,,588,,
270975,29324,"ESGF",2296,98,"Grass",0,0,"09",,,,,,"27",,,,,
239020,2648,"ESGG",10823,148,"ASP",1,0,"03",57.64950180053711,12.2677001953125,478,26,,"21",57.67610168457031,12.291899681091309,506,206,
430090,29326,"ESGI",1970,100,"grass",0,0,"01",,,226,,,"19",,,226,,
239031,2649,"ESGJ",7228,148,"ASP",1,0,"01",57.748199462890625,14.062999725341797,733,18.1,,"19",57.766998291015625,14.07450008392334,739,198.1,
239032,2649,"ESGJ",1969,82,"GRE",0,0,"11",57.75360107421875,14.068900108337402,727,114,,"29",57.751399993896484,14.078100204467773,738,294,
238991,2650,"ESGK",4318,98,"ASP",1,0,"04",58.164798736572266,13.581899642944336,781,32.3,,"22",58.174800872802734,13.593799591064453,773,212.4,
239041,2651,"ESGL",6529,148,"ASP",1,0,"06",58.461299896240234,13.159299850463867,200,62.2,,"24",58.46969985961914,13.189499855041504,190,242.2,
430094,29327,"ESGM",2230,115,"grass",0,0,"06",,,378,,,"24",,,378,,
506523,29904,"ESGN",1969,131,"GRAS TURF",0,0,"12",,,250,,,"30",,,250,,
506988,30522,"ESGO",2952,92,"ASP",0,0,"04",,,,,,"22",,,,,
239047,2652,"ESGP",3560,148,"ASP",1,0,"01",57.765899658203125,11.868800163269043,57,5,180,"19",57.78409957885742,11.871800422668457,48,185,188
239048,2652,"ESGP",2858,98,"ASP",0,1,"04",57.775901794433594,11.872400283813477,56,44,,"22",57.78150177001953,11.882599830627441,59,224,
239042,2653,"ESGR",5696,98,"ASP",1,0,"01",58.44889831542969,13.968600273132324,324,15.7,,"19",58.46390151977539,13.976699829101562,295,195.7,
270970,29328,"ESGS",2972,115,"Grass",0,0,"03",,,,,,"21",,,,,
239012,2654,"ESGT",5610,98,"ASP",1,0,"15",58.32419967651367,12.336600303649902,135,146,,"33",58.311500549316406,12.352899551391602,134,326,689
270972,29329,"ESGU",2148,98,"Grass",0,0,"03",,,,,,"21",,,,,
270974,29330,"ESGV",1837,164,"Grass",0,0,"12",,,,,,"30",,,,,
239053,2655,"ESIA",7472,131,"ASP",1,0,"06",58.50920104980469,14.489700317382812,307,62.8,,"24",58.51850128173828,14.524499893188477,308,242.8,
239054,2656,"ESIB",7428,131,"ASP",1,0,"01",58.4182014465332,12.709699630737305,169,5,,"19",58.43840026855469,12.712800025939941,175,185,
239055,2656,"ESIB",6342,131,"ASP",1,0,"11",58.433101654052734,12.694700241088867,165,112,,"29",58.42660140991211,12.7253999710083,181,292,
506985,29332,"ESKA",5972,82,"ASP",0,0,"05",60.12773,18.09246,,51,,"23",60.13159,18.102,,231,3740
522618,29333,"ESKC",2067,131,"GRASS",0,0,"03",59.919945,17.536682,62,,,"21",59.925613,17.536682,62,,
522619,29333,"ESKC",1542,197,"GRASS",0,0,"08",59.920666,17.536682,62,,,"26",59.924892,17.536682,62,,
522620,29333,"ESKC",1427,115,"GRASS",0,0,"14",59.920822,17.536682,62,,,"32",59.924736,17.536682,62,,
506969,29334,"ESKD",2624,72,"ASP",0,0,"03",,,,,,"21",,,,,
239022,2658,"ESKK",4919,98,"ASP",1,0,"03",59.3396,14.491,397,22,197,"21",59.3521,14.5008,394,202,
